aaguid;description;signature_type
"12ded745-4bed-47d4-abaa-e713f51d6393";"AllinPass FIDO";"POSSESSION"
"b93fd961-f2e6-462f-b122-82002247de78";"Android Authenticator with SafetyNet Attestation";"POSSESSION"
"ad784498-1902-3f54-b99a-10bb7dbd9588";"Apple MacBook Pro 14-inch, 2021";"POSSESSION"
"4ae71336-e44b-39bf-b9d2-752e234818a5";"Apple Passkeys";"POSSESSION"
"d41f5a69-b817-4144-a13c-9ebd6d9254d6";"ATKey.Card CTAP2.0";"POSSESSION"
"e1a96183-5016-4f24-b55b-e3ae23614cc6";"ATKey.Pro CTAP2.0";"POSSESSION"
"e416201b-afeb-41ca-a03d-2281c28322aa";"ATKey.Pro CTAP2.1";"POSSESSION"
"ba76a271-6eb6-4171-874d-b6428dbe3437";"ATKey.ProS";"POSSESSION"
"1c086528-58d5-f211-823c-356786e36140";"Atos CardOS FIDO2";"POSSESSION"
"b6ede29c-3772-412c-8a78-539c1f4c62d2";"BioPass FIDO Plus";"POSSESSION"
"77010bd7-212a-4fc9-b236-d2ca5e9d4084";"BioPass FIDO";"POSSESSION"
"be727034-574a-f799-5c76-0929e0430973";"Crayonic KeyVault K1 (USB-NFC-BLE FIDO2 Authenticator)";"POSSESSION"
"9c835346-796b-4c27-8898-d6032f515cc5";"Cryptnox FIDO2";"POSSESSION"
"454e5346-4944-4ffd-6c93-8e9267193e9a";"Ensurity ThinC";"POSSESSION"
"833b721a-ff5f-4d00-bb2e-bdda3ec01e29";"ePassFIDO K10, A4B, K28";"POSSESSION"
"ee041bce-25e5-4cdb-8f86-897fd6418464";"ePassFIDO K39, NFC, NFC Plus";"POSSESSION"
"5343502d-5343-5343-6172-644649444f32";"ESS Smart Card Inc. Authenticator";"POSSESSION"
"61250591-b2bc-4456-b719-0b17be90bb30";"eWBM eFPA FIDO2 Authenticator";"POSSESSION"
"3e22415d-7fdf-4ea4-8a0c-dd60c4249b9d";"Feitian iePass FIDO Authenticator";"POSSESSION"
"8c97a730-3f7b-41a6-87d6-1e9b62bda6f0";"FIDO Fingerprint Card";"POSSESSION"
"2c0df832-92de-4be1-8412-88a8f074df4a";"FIDO Java Card";"POSSESSION"
"f4c63eff-d26c-4248-801c-3736c7eaa93a";"FIDO KeyPass S3";"POSSESSION"
"9f0d8150-baa5-4c00-9299-ad62c8bb4e87";"GoTrust Idem Card FIDO2 Authenticator";"POSSESSION"
"3b1adb99-0dfe-46fd-90b8-7f7614a4de2a";"GoTrust Idem Key FIDO2 Authenticator";"POSSESSION"
"aeb6569c-f8fb-4950-ac60-24ca2bbe2e52";"HID Crescendo C2300";"POSSESSION"
"54d9fee8-e621-4291-8b18-7157b99c5bec";"HID Crescendo Enabled";"POSSESSION"
"692db549-7ae5-44d5-a1e5-dd20a493b723";"HID Crescendo Key";"POSSESSION"
"3e078ffd-4c54-4586-8baa-a77da113aec5";"Hideez Key 3 FIDO2";"POSSESSION"
"4e768f2c-5fab-48b3-b300-220eb487752b";"Hideez Key 4 FIDO2 SDK";"POSSESSION"
"d821a7d4-e97c-4cb6-bd82-4237731fd4be";"Hyper FIDO Bio Security Key";"POSSESSION"
"9f77e279-a6e2-4d58-b700-31e5943c6a98";"Hyper FIDO Pro";"POSSESSION"
"6e22415d-7fdf-4ea4-8a0c-dd60c4249b9d";"iePass FIDO";"POSSESSION"
"d91c5288-0ef0-49b7-b8ae-21ca0aa6b3f3";"KEY-ID FIDO2 Authenticator";"POSSESSION"
"310b2830-bd4a-4da5-832e-9a0dfc90abf2";"MultiPass FIDO";"POSSESSION"
"c5703116-972b-4851-a3e7-ae1259843399";"NEOWAVE Badgeo FIDO2";"POSSESSION"
